Fiscal Year,County,Number of Consummated Adoptions,Map ID
2017,Fannin,5,48147
2017,Fayette,18,48149
2017,Fisher,1,48151
2017,Floyd,1,48153
2017,Foard,0,48155
2017,Fort Bend,26,48157
2017,Franklin,3,48159
2017,Freestone,0,48161
2017,Frio,15,48163
2017,Gaines,2,48165
2017,Galveston,63,48167
2017,Garza,3,48169
2017,Gillespie,11,48171
2017,Glasscock,0,48173
2017,Goliad,0,48175
2017,Gonzales,10,48177
2017,Gray,6,48179
2017,Grayson,11,48181
2017,Gregg,40,48183
2017,Grimes,7,48185
2017,Guadalupe,37,48187
2017,Hale,14,48189
2017,Hall,0,48191
2017,Hamilton,0,48193
2017,Hansford,5,48195
2017,Hardeman,0,48197
2017,Hardin,9,48199
2017,Harris,644,48201
2017,Harrison,13,48203
2017,Hartley,2,48205
2017,Haskell,3,48207
2017,Hays,54,48209
2017,Hemphill,2,48211
2017,Henderson,31,48213
2017,Hidalgo,27,48215
2017,Hill,10,48217
2017,Hockley,8,48219
2017,Hood,14,48221
2017,Hopkins,27,48223
2017,Houston,3,48225
2017,Howard,11,48227
2017,Hudspeth,0,48229
2017,Hunt,54,48231
2017,Hutchinson,9,48233
2017,Irion,0,48235
2017,Jack,0,48237
2017,Jackson,0,48239
2017,Jasper,15,48241
2017,Jeff Davis,0,48243
2017,Jefferson,51,48245
2017,Jim Hogg,0,48247
2017,Jim Wells,9,48249
2017,Johnson,47,48251
2017,Jones,2,48253
2017,Karnes,9,48255
2017,Kaufman,17,48257
2017,Kendall,8,48259
2017,Kenedy,0,48261
2017,Kent,0,48263
2017,Kerr,31,48265
2017,Kimble,1,48267
2017,King,0,48269
2017,Kinney,0,48271
2017,Kleberg,2,48273
2017,Knox,0,48275
2017,Lamar,22,48277
2017,Lamb,6,48279
2017,Lampasas,14,48281
2017,La Salle,0,48283
2017,Lavaca,5,48285
2017,Lee,6,48287
2017,Leon,8,48289
2017,Liberty,20,48291
2017,Limestone,4,48293
2017,Lipscomb,0,48295
2017,Live Oak,6,48297
2017,Llano,12,48299
2017,Loving,0,48301
2017,Lubbock,205,48303
2017,Lynn,3,48305
2017,Mcculloch,0,48307
2017,Mclennan,0,48309
2017,Mcmullen,0,48311
2017,Madison,0,48313
2017,Marion,0,48315
2017,Martin,0,48317
2017,Mason,1,48319
2017,Matagorda,3,48321
2017,Maverick,1,48323
2017,Medina,35,48325
2017,Menard,0,48327
2017,Midland,43,48329
2017,Milam,16,48331
2017,Mills,3,48333
2017,Mitchell,1,48335
2017,Montague,3,48337
2017,Montgomery,89,48339
2017,Moore,2,48341
2017,Morris,1,48343
2017,Motley,0,48345
2017,Nacogdoches,35,48347
2017,Navarro,4,48349
2017,Newton,7,48351
2017,Nolan,1,48353
2017,Nueces,44,48355
2017,Ochiltree,0,48357
2017,Oldham,0,48359
2017,Orange,34,48361
2017,Palo Pinto,22,48363
2017,Panola,0,48365
2017,Parker,30,48367
2017,Parmer,0,48369
2017,Pecos,2,48371
2017,Polk,4,48373
2017,Potter,45,48375
2017,Presidio,0,48377
2017,Rains,0,48379
2017,Randall,34,48381
2017,Reagan,0,48383
2017,Real,3,48385
2017,Red River,5,48387
2017,Reeves,0,48389
2017,Refugio,0,48391
2017,Roberts,0,48393
2017,Robertson,2,48395
2017,Rockwall,6,48397
2017,Runnels,5,48399
2017,Rusk,8,48401
2017,Sabine,1,48403
2017,San Augustine,0,48405
2017,San Jacinto,1,48407
2017,San Patricio,17,48409
2017,San Saba,6,48411
2017,Schleicher,0,48413
2017,Scurry,2,48415
2017,Shackelford,0,48417
2017,Shelby,1,48419
2017,Sherman,1,48421
2017,Smith,60,48423
2017,Somervell,3,48425
2017,Starr,6,48427
2017,Stephens,1,48429
2017,Sterling,0,48431
2017,Stonewall,0,48433
2017,Sutton,0,48435
2017,Swisher,4,48437
2017,Tarrant,318,48439
2017,Taylor,46,48441
2017,Terrell,0,48443
2017,Terry,4,48445
2017,Throckmorton,0,48447
2017,Titus,8,48449
2017,Tom Green,57,48451
2017,Travis,265,48453
2017,Trinity,7,48455
2017,Tyler,7,48457
2017,Upshur,7,48459
2017,Upton,2,48461
2017,Uvalde,8,48463
2017,Val Verde,8,48465
2017,Van Zandt,16,48467
2017,Victoria,23,48469
2017,Walker,6,48471
2017,Waller,4,48473
2017,Ward,0,48475
2017,Washington,0,48477
2017,Webb,37,48479
2017,Wharton,7,48481
2017,Wheeler,0,48483
2017,Wichita,38,48485
2017,Wilbarger,0,48487
2017,Willacy,1,48489
2017,Williamson,81,48491
2017,Wilson,24,48493
2017,Winkler,0,48495
2017,Wise,14,48497
2017,Wood,12,48499
2017,Yoakum,0,48501
2017,Young,8,48503
2017,Zapata,0,48505
2017,Zavala,3,48507
2018,Anderson,2,48001
2018,Andrews,1,48003
2018,Angelina,21,48005
2018,Aransas,14,48007
2018,Archer,1,48009
2018,Armstrong,0,48011
2018,Atascosa,26,48013
2018,Austin,1,48015
2018,Bailey,1,48017
2018,Bandera,9,48019
2018,Bastrop,39,48021
2018,Baylor,1,48023
2018,Bee,8,48025
2018,Bell,115,48027
2018,Bexar,818,48029
2018,Blanco,1,48031
2018,Borden,0,48033
2018,Bosque,9,48035
2018,Bowie,11,48037
2018,Brazoria,16,48039
2018,Brazos,21,48041
2018,Brewster,2,48043
2018,Briscoe,0,48045
2018,Brooks,0,48047
2018,Brown,33,48049
2018,Burleson,7,48051
2018,Burnet,32,48053
2018,Caldwell,13,48055
2018,Calhoun,4,48057
2018,Callahan,4,48059
2018,Cameron,34,48061
2018,Camp,3,48063
2018,Carson,1,48065
2018,Cass,2,48067
2018,Castro,0,48069
2018,Chambers,3,48071
2018,Cherokee,24,48073
2018,Childress,6,48075
2018,Clay,0,48077
2018,Cochran,0,48079
2018,Coke,2,48081
2018,Coleman,1,48083
2018,Collin,90,48085
2018,Collingsworth,2,48087
2018,Colorado,8,48089
2018,Comal,56,48091
2018,Comanche,3,48093
2018,Concho,2,48095
